id,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime
669,6,78,NA,,F,South East,S & S East,Gold,6827.6,6
670,12,71,31,D,F,South East,S & S East,Gold,12000,19
671,8,56,30,D,M,South East,S & S East,Silver,500,11
672,5,44,8,B,M,Midlands,East,Silver,1500,6
673,17,34,10,B,M,Midlands,East,Tin,0.01,4
674,10,44,17,C,F,Midlands,Midlands,Tin,0.01,4
675,8,52,12,B,F,North,Yorkshire,Silver,650.01,9
676,13,36,22,C,M,North,N East,Silver,5000,8
677,12,51,12,B,F,South East,London,Silver,2000.01,8
678,10,34,23,C,F,Midlands,Midlands,Silver,1680,4
679,5,68,22,C,,Midlands,Midlands,Silver,1800,9
680,4,53,12,B,,Midlands,East,Gold,10000,4
681,9,71,8,B,M,South East,S & S East,Gold,6000,1
682,8,70,9,B,F,South East,London,Gold,18000,3
683,10,NA,52,F,,Midlands,East,Gold,6000,2
684,4,60,37,E,F,North,N West,Tin,0.01,8
685,5,64,7,B,M,South East,London,Silver,1000,5
686,10,38,34,D,F,South East,London,Silver,500,9
687,8,60,12,B,F,South East,London,Silver,879.57,11
688,9,41,28,D,F,Midlands,Midlands,Silver,2000,1
689,8,37,52,F,M,North,N West,Tin,0.01,4
690,14,27,24,C,M,Midlands,Wales & West,Silver,1000,4
691,7,68,11,B,F,South West,S West,Gold,6000,1
692,10,48,52,F,F,Midlands,East,Tin,0.01,7
693,4,NA,10,B,M,South East,London,Tin,0.01,5
694,8,55,12,B,F,Midlands,Wales & West,Silver,2000,5
695,11,77,43,E,M,Scottish,Border,Gold,13500,13
696,5,NA,44,E,M,North,N West,Tin,0.01,9
697,10,48,31,D,M,North,N West,Silver,480,1
698,5,66,49,F,F,North,N East,Gold,13740,8
699,5,70,52,F,F,North,N West,Silver,3500,5
700,8,51,51,F,F,South West,S West,Gold,6000,5
701,9,50,32,D,U,Scottish,C Scotland,Tin,0.01,5
702,10,31,25,C,F,South East,London,Tin,0.01,5
703,NA,71,8,B,F,North,N West,Gold,6000,20
704,8,54,14,B,F,South East,S & S East,Tin,0.01,4
705,8,69,25,C,,Scottish,C Scotland,Silver,1952.2,6
706,10,36,11,B,F,North,N East,Tin,0.01,4
707,11,42,51,F,F,South East,London,Gold,6000,4
708,10,35,44,E,F,North,Yorkshire,Silver,500,2
709,5,69,37,E,,Midlands,Midlands,Gold,6000,5
710,17,49,19,C,M,Midlands,Midlands,Silver,3045,6
711,13,72,37,E,,Midlands,East,Gold,11500,3
712,5,64,11,B,M,South West,S West,Silver,3000,2
713,12,74,8,B,F,Scottish,C Scotland,Silver,720,9
714,4,55,37,E,M,Midlands,East,Platinum,34000,3
715,11,70,8,B,F,North,N West,Gold,9000,8
716,8,67,10,B,M,South East,London,Silver,5000,1
717,8,58,52,F,M,Midlands,Midlands,Silver,1000,9
718,6,53,8,B,F,South East,London,Gold,10000,26
719,11,62,14,B,,South East,London,Platinum,20423.74,3
720,14,54,34,D,F,Midlands,Midlands,Gold,6000,2
721,11,66,25,C,F,South East,London,Platinum,20207.01,3
722,11,NA,20,C,M,South East,London,Tin,0.01,10
723,7,64,49,F,M,Midlands,Wales & West,Tin,0.01,5
724,9,77,8,B,U,Midlands,Wales & West,Gold,6000,4
725,5,45,8,B,,South East,London,Gold,6000,2
726,6,45,20,C,M,North,N East,Tin,0.01,10
727,11,78,27,D,U,Midlands,Wales & West,Gold,6000,10
728,9,59,1,A,F,South East,London,Gold,6026.17,7
729,8,48,53,F,M,Midlands,Wales & West,Tin,0.01,5
730,7,33,52,F,F,Midlands,Wales & West,Gold,11195,4
731,13,32,31,D,F,South East,London,Tin,0.01,5
732,10,71,NA,,F,South East,London,Gold,6105.32,8
733,5,60,41,E,F,South East,London,Gold,9058.9,2
734,8,44,37,E,F,South East,S & S East,Tin,0.01,9
735,7,50,24,C,F,Midlands,Wales & West,Silver,3000,8
736,10,36,22,C,F,North,N East,Silver,1100.01,5
737,5,70,4,A,,South East,London,Gold,12053.35,NA
738,12,59,NA,,F,South East,S & S East,Gold,6000,5
739,13,38,20,C,U,Midlands,Midlands,Silver,5000,5
740,6,78,17,C,U,Midlands,Wales & West,Silver,3000,2
741,13,43,38,E,F,Midlands,Midlands,Gold,7000,5
742,10,54,37,E,F,Midlands,Midlands,Tin,0.01,6
743,6,51,41,E,M,Scottish,C Scotland,Silver,2717.26,5
744,9,69,53,F,F,North,Yorkshire,Platinum,29958,5
745,5,43,12,B,F,South East,London,Silver,100,10
746,9,50,41,E,F,,,Gold,6000,1
747,8,NA,37,E,M,Midlands,Wales & West,Silver,2500,5
748,12,31,44,E,F,North,N West,Silver,1100,9
749,11,27,48,F,F,Midlands,East,Silver,2420,4
750,5,NA,8,B,F,South East,S & S East,Tin,0.01,7
751,9,51,44,E,F,Midlands,Midlands,Gold,6000,1
752,10,70,1,A,F,North,N East,Silver,1500,5
753,14,72,23,C,M,South West,S West,Silver,1400,4
754,5,47,8,B,F,South East,S & S East,Gold,9370.38,9
755,3,48,3,A,M,Scottish,C Scotland,Gold,6000,2
756,5,69,12,B,F,South East,London,Silver,1500,16
757,3,65,4,A,F,South East,London,Gold,10000,1
758,14,40,2,A,F,South East,S & S East,Tin,0.01,8
759,12,61,22,C,M,North,Yorkshire,Silver,480,8
760,6,74,12,B,F,South East,London,Tin,0.01,8
761,10,55,53,F,F,Scottish,C Scotland,Silver,600,8
762,8,53,8,B,F,South East,London,Tin,0.01,5
763,6,NA,22,C,M,Midlands,Midlands,Silver,2000,1
764,10,50,52,F,F,South East,London,Gold,10000,9
765,7,68,8,B,F,South East,London,Gold,6000,2
766,3,52,49,F,M,Midlands,East,Gold,6000,1
767,10,47,34,D,M,North,N West,Tin,0.01,5
768,10,50,28,D,F,South East,London,Silver,1000,6
769,8,55,35,D,F,Midlands,Wales & West,Tin,0.01,5
770,NA,51,3,A,F,South East,London,Tin,0.01,8
771,9,77,8,B,F,South East,London,Silver,1500,3
772,10,NA,24,C,F,South East,S & S East,Silver,3000,8
773,6,38,18,C,,North,N West,Tin,0.01,5
774,5,60,5,B,F,North,N West,Tin,0.01,5
775,7,45,22,C,F,South East,London,Silver,2700,12
776,10,NA,38,E,U,Midlands,Midlands,Silver,1920,5
777,13,58,4,A,F,South East,London,Tin,0.01,6
778,14,50,52,F,,South East,London,Silver,50,10
779,9,73,16,C,F,North,Yorkshire,Silver,3713.1,6
780,NA,66,44,E,F,South East,S & S East,Tin,0.01,9
781,15,69,23,C,F,Midlands,Midlands,Gold,12053.35,7
782,13,36,47,F,F,Midlands,Midlands,Tin,0.01,5
783,12,NA,4,A,M,South East,London,Platinum,20403.87,3
784,11,34,53,F,M,Midlands,Midlands,Gold,6000,5
785,14,34,19,C,F,South East,London,Silver,3000,1
786,8,30,32,D,M,Scottish,C Scotland,Tin,0.01,5
787,5,47,28,D,F,Midlands,East,Tin,0.01,NA
788,7,39,49,F,F,South East,S & S East,Gold,9000,8
789,9,45,51,F,F,Midlands,Wales & West,Tin,0.01,4
790,6,NA,52,F,F,North,Yorkshire,Tin,0.01,5
791,7,33,55,U,F,South East,London,Silver,3000,3
792,7,64,50,F,F,Midlands,Midlands,Gold,12050,8
793,10,55,52,F,F,Scottish,C Scotland,Silver,3000,7
794,11,71,37,E,,South East,London,Silver,3000,14
795,7,64,4,A,F,South East,London,Gold,12605.32,17
796,8,53,37,E,F,Midlands,Midlands,Platinum,22000,12
797,10,47,50,F,F,Scottish,C Scotland,Tin,0.01,8
798,7,72,25,C,F,South East,London,Silver,600,7
799,NA,33,18,C,M,Midlands,Midlands,Silver,20,11
800,7,77,52,F,F,Midlands,Midlands,Gold,6000,1
801,10,40,44,E,F,Midlands,Midlands,Silver,500,8
802,11,48,15,B,M,North,N West,Gold,6000,1
803,17,NA,1,A,M,Midlands,Midlands,Silver,4000,5
804,10,63,10,B,U,Midlands,Wales & West,Gold,12160.99,7
805,8,76,12,B,M,Midlands,Midlands,Tin,0.01,6
806,8,64,5,B,F,North,N East,Gold,9000,29
807,16,51,12,B,F,North,N West,Tin,0.01,5
808,7,46,10,B,F,South East,London,Tin,0.01,8
809,5,57,22,C,,South West,S West,Silver,840.01,7
810,10,63,12,B,M,Midlands,Midlands,Silver,5000,12
811,8,67,32,D,M,South East,London,Silver,3000,8
812,10,40,23,C,F,Midlands,Midlands,Tin,0.01,4
813,10,40,51,F,F,Midlands,Midlands,Tin,0.01,4
814,10,46,25,C,M,Midlands,East,Silver,600,2
815,5,79,4,A,F,South East,London,Silver,1000,7
816,11,32,51,F,F,Midlands,Wales & West,Gold,11550.5,10
817,10,49,53,F,F,North,Yorkshire,Silver,3000,4
818,26,55,51,F,F,Midlands,Midlands,Gold,6000,13
819,12,64,3,A,,South East,London,Platinum,70000,4
820,7,48,5,B,,South East,S & S East,Tin,0.01,8
821,6,48,34,D,U,Midlands,East,Tin,0.01,9
822,7,51,53,F,M,Midlands,Wales & West,Gold,6000,5
823,8,75,27,D,F,South West,S West,Silver,4000,2
824,10,64,27,D,M,Midlands,Wales & West,Silver,50,11
825,10,57,5,B,M,South East,S & S East,Silver,700,10
826,NA,66,28,D,F,South East,S & S East,Gold,12000,2
827,13,65,30,D,F,South West,S West,Gold,6053.35,6
828,7,36,32,D,F,Midlands,East,Silver,1000,2
829,12,34,17,C,F,,,Tin,0.01,5
830,11,NA,53,F,F,North,N West,Tin,0.01,5
831,8,37,18,C,M,South East,S & S East,Tin,0.01,5
832,11,37,48,F,F,Scottish,C Scotland,Silver,500,8
833,6,34,5,B,F,South East,S & S East,Gold,6700,6
834,5,61,7,B,M,South East,London,Gold,12160.99,11
835,10,61,20,C,,South East,London,Gold,9000,0
836,7,67,27,D,U,North,Yorkshire,Gold,11100,8
837,7,49,24,C,M,,,Gold,6000,2
838,7,34,51,F,F,Midlands,Midlands,Silver,2300,8
839,6,30,45,E,F,Midlands,Midlands,Tin,0.01,5
840,5,50,31,D,M,South East,London,Silver,600,7
841,4,78,14,B,F,South East,London,Gold,6000,3
842,6,41,32,D,,North,Yorkshire,Tin,0.01,5
843,8,50,12,B,M,Midlands,East,Silver,2500,NA
844,10,44,12,B,F,Midlands,Midlands,Silver,1000,4
845,8,41,46,F,,South West,S West,Tin,0.01,8
846,15,40,51,F,M,North,N West,Tin,0.01,4
847,12,68,5,B,M,Midlands,Midlands,Platinum,38000,4
848,9,77,23,C,F,South East,S & S East,Gold,8400,8
849,8,47,41,E,F,Midlands,Wales & West,Tin,0.01,7
850,7,43,37,E,F,Midlands,Wales & West,Gold,6053.35,7
851,7,NA,38,E,M,South East,London,Silver,2400,8
852,7,65,41,E,,South East,London,Silver,5000,4
853,7,51,14,B,F,South East,London,Platinum,20249.84,3
854,8,78,21,C,F,South East,London,Gold,6053.35,NA
855,22,31,48,F,F,North,N West,Silver,2000,4
856,7,43,16,C,F,Scottish,N Scot,Silver,1020,4
857,7,62,52,F,F,Scottish,C Scotland,Gold,8500,18
858,12,74,8,B,M,South East,S & S East,Tin,0.01,7
859,10,78,8,B,F,Midlands,East,Gold,10000,4
860,9,66,6,B,,,,Gold,6000,2
861,9,69,45,E,U,Midlands,Midlands,Silver,3000,8
862,18,55,19,C,F,Midlands,Wales & West,Silver,3000,7
863,8,47,52,F,M,South East,London,Tin,0.01,7
864,6,61,3,A,M,Scottish,C Scotland,Silver,3000,4
865,9,66,50,F,F,Midlands,East,Gold,12869.97,11
866,10,69,52,F,F,North,N East,Silver,3000,19
867,3,39,18,C,M,South East,S & S East,Tin,0.01,6
868,4,68,8,B,M,South East,S & S East,Silver,4500,9
869,7,58,22,C,F,South East,London,Silver,2000,5
870,6,75,2,A,F,South East,London,Gold,11210.81,6
871,9,70,16,C,F,Midlands,Midlands,Gold,6105.32,9
872,7,45,NA,,,North,N West,Gold,6000,1
873,11,49,51,F,M,South East,London,Tin,0.01,5
874,15,63,18,C,F,South East,London,Silver,3600,8
875,11,54,42,E,M,South East,S & S East,Tin,0.01,5
876,3,70,19,C,F,North,N West,Tin,0.01,5
877,8,42,19,C,M,North,Yorkshire,Tin,0.01,5
878,14,50,41,E,F,Midlands,Wales & West,Tin,0.01,8
879,11,42,4,A,F,South East,London,Silver,600,11
880,9,69,37,E,M,South East,S & S East,Gold,6000,4
881,14,60,15,B,M,South West,S West,Silver,1000,5
882,16,NA,44,E,M,South East,S & S East,Tin,0.01,5
883,15,NA,27,D,M,Scottish,C Scotland,Silver,600,4
884,11,46,3,A,F,South East,London,Silver,500,9
885,5,37,4,A,,South East,London,Gold,7000,11
886,NA,28,28,D,F,South East,S & S East,Silver,250,8
887,4,65,24,C,F,Midlands,Wales & West,Gold,6000,2
888,10,62,25,C,F,Midlands,East,Silver,3000,7
889,5,34,32,D,M,North,Yorkshire,Silver,1500,1
890,7,50,33,D,F,South West,S West,Silver,1017.55,9
891,11,55,49,F,M,North,Yorkshire,Silver,0.02,8
892,NA,64,35,D,F,North,N East,Silver,1000,9
893,8,76,49,F,F,Midlands,East,Gold,6000,1
894,8,45,47,F,M,South East,London,Gold,6053.34,4
895,11,74,27,D,M,Midlands,Wales & West,Silver,5000,5
896,14,49,39,E,F,North,N West,Silver,3000,10
897,9,47,8,B,U,Midlands,East,Silver,2000,4
898,5,58,3,A,F,South East,London,Silver,2500,5
899,6,31,NA,,F,Scottish,N Scot,Tin,0.01,5
900,7,36,50,F,F,North,N West,Gold,15000,11
901,NA,60,3,A,F,Scottish,C Scotland,Silver,3000,16
902,5,44,52,F,M,Midlands,Midlands,Silver,600,1
903,12,76,37,E,M,North,N West,Gold,9026.67,7
904,13,62,23,C,M,North,N East,Gold,6000,1
905,10,36,20,C,F,South East,London,Silver,1800,4
906,7,64,28,D,F,South East,London,Silver,500,1
907,9,72,35,D,F,North,N East,Gold,8000,5
908,2,59,3,A,F,North,N West,Gold,12053.35,6
909,4,64,46,F,,Scottish,N Scot,Tin,0.01,5
910,NA,78,15,B,M,South East,S & S East,Silver,3000,8
911,4,63,53,F,U,South East,S & S East,Silver,660,5
912,5,58,2,A,U,Scottish,Border,Tin,0.01,4
913,10,47,2,A,M,South East,S & S East,Silver,300,15
914,4,25,4,A,F,South East,London,Silver,1200,5
915,8,43,22,C,F,South East,London,Tin,0.01,7
916,7,61,NA,,,Midlands,Ulster,Silver,4350,7
917,13,75,2,A,F,Midlands,Wales & West,Gold,7200,2
918,7,51,31,D,F,South East,London,Gold,17217.78,4
919,9,51,49,F,M,South West,S West,Platinum,30000,1
920,9,53,NA,,,Midlands,Ulster,Silver,70.01,8
921,14,NA,23,C,F,South East,S & S East,Gold,6500,15
922,9,53,3,A,F,South East,London,Tin,0.01,5
923,7,34,52,F,F,South East,London,Tin,0.01,5
924,NA,72,34,D,M,Midlands,Midlands,Gold,6000,8
925,7,68,9,B,F,South East,London,Silver,2000,5
926,9,48,1,A,F,South East,London,Silver,600,8
927,2,66,30,D,U,South East,S & S East,Silver,1000,5
928,5,70,12,B,M,North,N West,Gold,6000,4
929,6,53,52,F,M,South East,S & S East,Tin,0.01,8
930,10,76,37,E,F,Midlands,Wales & West,Silver,5000,1
931,6,57,1,A,F,South East,London,Gold,6000,1
932,6,49,45,E,M,Midlands,Midlands,Silver,4842.12,9
933,14,46,17,C,F,Scottish,C Scotland,Tin,0.01,8
934,12,35,47,F,,South East,London,Gold,6000,2
935,7,50,10,B,M,North,Yorkshire,Silver,5000,10
936,7,57,25,C,F,South East,S & S East,Gold,9053.35,11
937,10,NA,17,C,M,,,Silver,3052.66,7
938,9,40,21,C,F,South East,London,Tin,0.01,8
939,14,51,6,B,F,South East,S & S East,Silver,3000,8
940,5,50,16,C,M,Midlands,Wales & West,Tin,0.01,NA
941,6,43,50,F,F,Midlands,Midlands,Tin,0.01,9
942,14,NA,53,F,F,Scottish,N Scot,Silver,2000,5
943,10,51,19,C,U,South East,S & S East,Tin,0.01,5
944,9,41,52,F,U,Midlands,Midlands,Silver,2500,12
945,15,64,NA,,F,Midlands,Ulster,Gold,6000,2
946,17,66,18,C,F,South East,London,Silver,2600,4
947,9,48,16,C,,Midlands,Wales & West,Tin,0.01,5
948,9,51,53,F,F,Midlands,Wales & West,Tin,0.01,5
949,7,23,4,A,F,North,N West,Silver,1000,5
950,8,37,53,F,M,North,Yorkshire,Tin,0.01,8
951,12,65,22,C,F,South East,London,Gold,6053.34,4
952,8,60,44,E,M,South East,London,Tin,0.01,8
953,9,38,53,F,F,North,N East,Tin,0.01,5
954,9,54,NA,,M,North,Yorkshire,Gold,16000,4
955,10,30,27,D,,South East,London,Tin,0.01,NA
956,13,79,6,B,F,North,N East,Gold,12158.67,7
957,6,51,14,B,M,South East,London,Silver,4000,5
958,NA,48,52,F,F,South East,London,Tin,0.01,5
959,15,52,21,C,F,South East,London,Gold,6000,1
960,7,NA,NA,,M,South East,London,Silver,3000,8
961,7,51,35,D,M,Midlands,Wales & West,Silver,5000,13
962,7,62,16,C,F,North,N West,Gold,8000,4
963,7,36,37,E,F,South East,S & S East,Silver,1000.01,8
964,9,40,38,E,F,North,N East,Silver,265,10
965,7,32,49,F,F,North,N West,Tin,0.01,5
966,9,60,49,F,M,North,Yorkshire,Silver,5000,5
967,7,63,4,A,F,Midlands,Wales & West,Gold,11500,4
968,6,60,27,D,F,South East,London,Gold,18026.67,25
969,7,41,28,D,U,South East,S & S East,Gold,5100.01,11
970,5,56,27,D,F,Midlands,East,Gold,6105.32,7
971,10,55,10,B,M,Scottish,C Scotland,Gold,6000,1
972,8,32,49,F,F,Midlands,East,Silver,30,2
973,13,50,1,A,F,Scottish,C Scotland,Gold,6000,3
974,7,78,NA,,F,Midlands,Ulster,Silver,1250,5
975,7,56,28,D,F,Midlands,Wales & West,Gold,6025,6
976,10,43,14,B,F,South East,S & S East,Gold,12000,21
977,6,44,25,C,F,South East,London,Tin,0.01,5
978,3,48,49,F,,Midlands,East,Tin,0.01,8
979,10,66,12,B,,South East,London,Platinum,20406.39,3
980,11,35,5,B,F,North,N East,Tin,0.01,8
981,11,49,44,E,M,South East,London,Tin,0.01,4
982,11,66,53,F,F,South East,London,Silver,1000,8
983,NA,42,27,D,M,Midlands,Wales & West,Silver,1500,5
984,10,53,25,C,F,South East,London,Silver,3900,2
985,9,56,14,B,U,South East,London,Silver,5000,4
986,8,56,27,D,F,South East,London,Silver,1500,11
987,12,73,52,F,F,Midlands,Midlands,Gold,6053.35,7
988,8,39,31,D,F,South East,London,Tin,0.01,5
989,12,53,6,B,U,South West,S West,Silver,1000,4
990,7,79,24,C,M,Scottish,Border,Gold,18500,12
991,9,NA,42,E,F,South East,London,Tin,0.01,4
992,19,47,34,D,M,Midlands,Midlands,Tin,0.01,8
993,7,77,10,B,U,South East,London,Gold,9500,4
994,9,34,50,F,F,Midlands,Wales & West,Tin,0.01,10
995,9,62,33,D,F,Midlands,Midlands,Silver,3000,8
996,9,73,NA,,M,Midlands,East,Gold,6053.35,14
997,8,46,37,E,F,South East,London,Tin,0.01,8
998,9,53,28,D,,North,N West,Gold,6053.35,6
999,NA,72,2,A,,South East,London,Silver,3000,8
1000,12,61,12,B,F,South East,London,Silver,1500,6